"from","to","hiking_time_to","hiking_time_back"
1,4,255491,255426
1,5,265097,261888
1,9,281229,274774
2,5,263393,260085
2,6,270061,269934
2,10,242317,241379
3,7,276996,274876
3,12,258350,257731
4,8,255670,255670
4,9,296345,286523
4,14,290885,273745
5,9,314014,307670
5,10,262014,264458
5,15,364125,360052
6,10,263329,263314
6,11,272278,272930
6,16,317381,301130
7,12,258732,260268
7,18,247463,250492
8,13,255735,255735
8,14,312127,294391
8,20,327718,313038
9,14,304054,296911
9,15,336914,340040
9,21,363822,367045
10,15,338048,332783
10,16,302713,285426
10,22,345718,346208
11,16,300911,278471
11,17,261164,262434
11,23,379963,376991
12,18,254832,255842
12,26,258140,258234
13,19,255260,255247
13,20,343588,331109
13,28,330800,311656
14,20,319918,319076
14,21,364615,373349
14,29,371878,384612
15,21,307894,304798
15,22,282769,286919
15,30,275472,281458
16,22,269942,289320
16,23,321434,336879
16,31,282459,297284
17,23,330637,323015
17,24,255263,255484
17,32,341838,330988
18,25,255640,255705
18,26,259468,259822
18,34,295552,295662
19,27,255498,255522
19,28,329460,306069
19,36,317260,294342
20,28,355054,353397
20,29,346688,356754
20,37,354410,365346
21,29,273435,281851
21,30,264607,271826
21,38,268998,275922
22,30,255370,256355
22,31,262512,261998
22,39,249633,250117
23,31,263085,266964
23,32,317446,308867
23,40,248981,253324
24,32,324919,316515
24,33,272626,265799
24,41,358701,352610
25,33,280041,275738
25,34,257851,258378
25,42,347761,338964
26,34,255145,254544
26,43,241371,241203
27,35,256589,255868
27,36,312059,290466
27,45,333706,311224
28,36,281026,277914
28,37,329206,343592
28,46,336172,352932
29,37,282898,280757
29,38,277389,277478
29,47,275825,275658
30,38,256097,255643
30,39,256523,256382
30,48,239582,239987
31,39,256528,257409
31,40,256963,257312
31,49,246640,247314
32,40,289431,298682
32,41,323480,330114
32,50,308724,318781
33,41,355161,354819
33,42,347610,345254
33,51,338594,338188
34,42,314292,305111
34,43,260703,261077
34,52,274176,273785
35,44,255063,256427
35,45,304991,282115
35,54,304044,281125
36,45,300781,298209
36,46,312319,333417
36,55,372215,387914
37,46,259928,260210
37,47,259993,261046
37,56,248868,249416
38,47,256360,256396
38,48,255489,256355
38,57,242210,243158
39,48,255701,256234
39,49,256558,256531
39,58,245015,245613
40,49,256108,256374
40,50,258140,257356
40,59,243051,243517
41,50,312097,316384
41,51,272305,272816
41,60,309511,316448
42,51,319133,323587
42,52,291899,301397
42,61,293946,299485
43,52,258581,258259
43,53,255876,255470
43,62,241354,241609
44,54,293182,266736
44,63,270585,263522
45,54,291648,293037
45,55,374333,387154
45,64,380415,387093
46,55,302359,297660
46,56,272536,272275
46,65,276675,275102
47,56,263075,262807
47,57,256266,256974
47,66,250371,250312
48,57,255980,255743
48,58,256299,255977
48,67,242879,242863
49,58,256010,256380
49,59,256286,256044
49,68,244685,244782
50,59,255642,256404
50,60,257818,258272
50,69,242221,242723
51,60,306947,313654
51,61,310437,312299
51,70,322825,328244
52,61,282109,279398
52,62,262027,262293
52,71,341586,335687
53,62,255623,256079
53,72,313287,312689
54,63,273697,290120
54,64,382050,387596
54,74,292709,292770
55,64,355124,345833
55,65,285123,287700
55,75,297028,299690
56,65,258591,257660
56,66,256314,256744
56,76,250170,249432
57,66,256820,256417
57,67,256199,256245
57,77,244516,244494
58,67,255961,256060
58,68,256385,256127
58,78,243790,243872
59,68,256421,256720
59,69,256490,256303
59,79,245264,245812
60,69,256111,256388
60,70,256889,256228
60,80,242383,243233
61,70,324964,325878
61,71,323847,321192
61,81,381754,379239
62,71,324967,316338
62,72,258594,255022
62,82,280428,280790
63,73,259403,266992
63,74,311167,294119
63,85,331762,318944
64,74,375908,369620
64,75,337090,350583
64,86,381304,389270
65,75,265427,264810
65,76,258718,259102
65,87,260653,261485
66,76,257045,255955
66,77,256412,256638
66,88,246709,246377
67,77,256271,255998
67,78,255989,255988
67,89,241389,241837
68,78,256031,256358
68,79,257677,257490
68,90,246204,246943
69,79,255805,256063
69,80,255962,256313
69,91,242331,242907
70,80,255278,256772
70,81,259480,258474
70,92,238539,240390
71,81,303257,306053
71,82,266990,273942
71,93,306522,312388
72,82,294177,297205
72,83,261542,264747
72,94,257473,261984
73,85,285473,262875
73,103,253422,251735
74,85,278914,283443
74,86,336257,350046
74,104,277303,280488
75,86,278909,272789
75,87,261360,262561
75,105,258504,259863
76,87,260206,260274
76,88,256246,257339
76,106,254719,255633
